# license: LicenseRef-Sakura-InHouse
reading	surface	left_id	right_id	word_cost	prediction_cost	flags	annotation
こんきょしりょう	根拠資料	1851	1851	7600	2147483647		判断・主張・数値などの根拠として提示する資料。
ついしょう	追従	1841	1841	5551	6751	predict	相手に気に入られようとして、意見や機嫌に合わせて従うこと。
ついじゅう	追従	1841	1841	5551	6751	predict	先行するものの後についていき、その動きや指示に合わせること。
ついずい	追随	1841	1841	5489	6689	predict	先行するものの後を追い、同じ動きや水準に合わせること。
たいおう	対応	1841	1841	2732	3932	predict	状況や相手に応じて、必要な行動を取ること。
たいしょ	対処	1841	1841	3827	5027	predict	問題や事態に対して、具体的な手当てをすること。
しゅうせい	修正	1841	1841	3577	4777	predict	誤りや不適切な部分を正しく直すこと。
へんこう	変更	1841	1841	2877	4077	predict	内容・状態・設定などを別のものへ変えること。
へんけい	変形	1841	1841	4274	5474	predict	形や構造を変えること。
ついか	追加	1841	1841	3037	4237	predict	既存のものに新しい要素を加えること。
ついき	追記	1841	1841	4455	5655	predict	既にある文書などに情報を書き加えること。
じょがい	除外	1841	1841	4473	5673	predict	対象から外し、処理や集合に含めないこと。
むこう	無効	1931	1931	3013	4213	predict	効力や利用可能性がない状態。
むこうか	無効化	1931	1941	4619	5819	predict	有効だった機能や権限を使えなくする操作。
ちゅうだん	中断	1841	1841	4494	5694	predict	処理を途中で止め、後で再開できる状態にすること。
ちゅうし	中止	1841	1841	3924	5124	predict	予定していた行為を取りやめ、実施しないこと。
しゅうりょう	終了	1841	1841	3226	4426	predict	処理・期間・セッションが終わること。
かんりょう	完了	1841	1841	3537	4737	predict	必要な作業が最後まで終わり、未処理がない状態。
せいこう	成功	1841	1841	3366	4566	predict	目的の処理や操作が期待どおり成立した結果。
せいじょう	正常	1931	1931	3205	4405	predict	想定した範囲で正しく動いている状態。
けんぜん	健全	1851	1851	5986	7186	predict	欠陥や異常がなく、継続して利用することに問題がない状態。
けんぜん	健全	1931	1931	3557	4757	predict	欠陥や異常がなく、継続して利用することに問題がない状態。
いじょう	異常	1931	1931	2877	4077	predict	通常や想定から外れた状態。
こしょう	故障	1841	1841	4085	5285	predict	機器や機能が壊れて、本来の動作をしないこと。
えらー	エラー	1841	1841	3953	5153	predict	処理が失敗したことを示す状態または通知。
けいこく	警告	1841	1841	4267	5467	predict	問題の可能性を知らせるが、処理継続を妨げない通知。
きょひ	拒否	1841	1841	4161	5361	predict	要求を受け付けず、実行しないこと。
きんし	禁止	1841	1841	3602	4802	predict	ルールにより実行を認めないこと。
せいげん	制限	1841	1841	3477	4677	predict	許される範囲・量・回数を狭めること。
じつげん	実現	1841	1841	3258	4458	predict	要求や目的を実際の動作・成果として成立させること。
のうりょく	能力	1851	1851	3446	4646	predict	ある処理や行為を行える限度・力量。
せいぎょ	制御	1841	1841	3785	4985	predict	入力や条件に応じて動きを調整すること。
かんそく	観測	1841	1841	4211	5411	predict	状態や現象を継続的に見て記録すること。
けいそく	計測	1841	1841	4229	5429	predict	量を基準や単位で測って数値化すること。
けんしゅつ	検出	1841	1841	4141	5341	predict	対象の存在や変化を見つけること。
けんさ	検査	1841	1841	3400	4600	predict	基準に照らして異常や適合性を調べること。
れんけい	連携	1841	1841	3513	4713	predict	複数の主体や機能が情報をやり取りし、協力すること。
とうごう	統合	1841	1841	3948	5148	predict	複数の機能やデータを一つの仕組みにまとめること。
かくり	隔離	1841	1841	4962	6162	predict	影響が及ばないよう境界を設けて分けること。
はんい	範囲	1841	1841	3350	4550	predict	対象に含める広がりや限界。
ふぃーるど	フィールド	1851	1851	4112	5312	predict	レコード内の一つのデータ項目。
えんとり	エントリ	1841	1841	4462	5662	predict	辞書・表・集合に登録された一件。
ようそ	要素	1851	1851	3598	4798	predict	集合や構造を構成する一つの部分。
めっせーじ	メッセージ	1841	1841	3402	4602	predict	処理間で交換する情報単位、または表示する文。
おうとう	応答	1841	1841	4318	5518	predict	要求を受けた側が返す結果や返事。
じっこう	実行	1841	1841	3434	4634	predict	指定された処理を実際に行うこと。
きどう	起動	1841	1841	3706	4906	predict	プログラムや機能を動作可能な状態に開始すること。
しょきか	初期化	1851	1941	5847	7047	predict	使用開始前に状態や領域を初期状態へ整えること。
りせっと	リセット	1841	1841	4209	5409	predict	現在の状態や設定を初期状態に戻すこと。
さいきどう	再起動	2610	1841	1378	2578	predict	終了させて、再び起動すること。
さいげん	再現	1841	1841	3809	5009	predict	同じ条件から同じ現象や結果を起こすこと。
さいはつ	再発	1841	1841	4423	5623	predict	一度収まった問題が再び起こること。
へいこう	並行	1841	1841	4620	5820	predict	複数の処理が重なった時間帯に進むこと。同一の実行単位とは限らない。
ひどうき	非同期	1851	1851	5617	6817	predict	呼び出し元が完了を待たず、処理と応答が別のタイミングになること。
すこあ	スコア	1851	1851	4268	5468	predict	評価結果を比較できる数値。
おもみ	重み	1851	1851	4949	6149	predict	評価や計算で要素の影響度を表す値。
いきち	閾値	1851	1851	6097	-		判定や動作を切り替える境目の値。
しきいち	閾値	1851	1851	5787	6987	predict	判定や動作を切り替える境目の値。
じょうげん	上限	1851	1851	4284	5484	predict	許容する最大値。
じょうちょうせい	冗長性	1851	1970	6846	-		同じまたは代替の構成を余分に持ち、故障に備える性質。
じょうちょうせい	冗長性	1931	1970	6056	-		同じまたは代替の構成を余分に持ち、故障に備える性質。
いちい	一意	1851	1851	5821	7021	predict	他と重ならず、一つに決まること。
いちい	一意	1931	1931	5098	6298	predict	他と重ならず、一つに決まること。
はいた	排他	1841	1841	5463	6663	predict	同時利用や同時実行を許さず、一つに限定すること。
みていぎ	未定義	1931	1931	5892	7092	predict	値・意味・動作が定められていない状態。
みていぎ	未定義	2624	1841	4071	5271	predict	値・意味・動作が定められていない状態。
みせってい	未設定	2624	1841	3164	4364	predict	設定値がまだ与えられていない状態。
でふぉると	デフォルト	1851	1851	4379	5579	predict	特別な指定がない場合に使う既定値や動作。
ふぉーるばっく	フォールバック	1841	1841	6384	-		主経路が使えない場合に切り替える代替経路。
だいがえ	代替	1851	1851	6107	-		本来のものの代わりに、別のものを用いること。
だいたい	代替	1841	1841	4380	5580	predict	本来のものの代わりに、別のものを用いること。
ぱっち	パッチ	1841	1841	4572	5772	predict	差分として適用する修正データ。
ちけっと	チケット	1851	1851	3794	4994	predict	作業・不具合・要求を追跡する管理単位。
いがい	意外	1931	1931	3174	4374	predict	予想と違うこと。
いがい	以外	1851	1851	3340	4540	predict	あるものを除いた残り。
いがい	以外	2163	2163	0	1200	predict	あるものを除いた残り。
たいしょう	対称	1851	1851	5222	6422	predict	中心や軸を基準に、形や関係が釣り合うこと。
ほしょう	保証	1841	1841	3589	4789	predict	正しく動くことや条件を満たすことを、責任を持って約束すること。
せいさく	制作	1841	1841	3405	4605	predict	企画や表現を含む作品を作ること。
せいさく	製作	1841	1841	3788	4988	predict	機械・製品・部品などを作ること。
さくせい	作成	1841	1841	3031	4231	predict	文書・データ・計画などを新しく作ること。
さくせい	作製	1841	1841	4935	6135	predict	物品・試作品などを実際に作ること。
たいせい	体制	1851	1851	3804	5004	predict	組織・人員・役割の組み合わせ。
てきおう	適応	1841	1841	4207	5407	predict	環境や条件に合わせて、自分や仕組みを変えること。
しゅうしゅう	収集	1841	1841	3523	4723	predict	必要な情報や物を集めること。
しゅうしゅう	収拾	1841	1841	5861	7061	predict	散らかったものや事態を取りまとめること。
しゅうりょう	修了	1841	1841	4523	5723	predict	学習や課程を終えること。
しゅうそく	収束	1841	1841	4980	6180	predict	ばらつき・議論・処理などが一つの範囲へ落ち着くこと。
かいほう	解放	1841	1841	3975	5175	predict	拘束・資源・ロックなどを外し、自由にすること。
かいほう	開放	1841	1841	4135	5335	predict	閉じていた場所や機能を開け、利用可能にすること。
かいとう	回答	1841	1841	3380	4580	predict	質問や依頼に答えること。
かいとう	解答	1841	1841	4497	5697	predict	問題に対する正しい答え。
かいてい	改定	1841	1841	4424	5624	predict	規則・価格・制度などを改めて定め直すこと。
かいてい	改訂	1841	1841	4724	5924	predict	文書や版の内容を見直し、書き改めること。
きかい	機会	1881	1881	0	1200	predict	何かをするのに適した時や場。
きかい	機械	1883	1883	0	1200	predict	動力で動き、一定の仕事をする装置。
きき	機器	1882	1882	3	1203	predict	機械・装置などの器具の総称。
きてん	起点	1851	1851	4872	6072	predict	物事や経路が始まる地点。
きじゅん	規準	1851	1851	6263	-		判断や評価のよりどころとなる基準。
きげん	期限	1851	1851	4047	5247	predict	何かを行える最終の時点や期間。
きじつ	期日	1851	1851	4901	6101	predict	あらかじめ定めた特定の日。
きょか	許可	1841	1841	3670	4870	predict	禁止されている行為をしてよいと認めること。
きょうぎ	協議	1841	1841	4052	5252	predict	関係者が相談して、方針や結論を決めること。
きょうぎかい	協議会	1841	1937	5923	7123	predict	協議するために設けた会議や組織。
きょうちょう	協調	1841	1841	4809	6009	predict	複数のものが歩調や利害を合わせること。
きょうちょう	強調	1841	1841	4108	5308	predict	重要性や特徴を目立たせること。
きょうせい	強制	1841	1841	4122	5322	predict	本人の意思にかかわらず実行させること。
きょうせい	矯正	1841	1841	3995	5195	predict	誤りや悪い状態を正すこと。
きょうじ	教示	1841	1841	5215	6415	predict	方法や情報を教え示すこと。
きょうじゅ	教授	1851	1851	4215	5415	predict	学問や技能を教え授けること。名詞では大学などの職名も指す。
きょうじゅ	教授	2040	2040	1791	2991	predict	学問や技能を教え授けること。名詞では大学などの職名も指す。
さずく	教授	1922	1922	4316	5516	predict	学問や技能を教え授けること。
さずく	教授	2040	2040	3288	4488	predict	学問や技能を教え授けること。
きょうきゅう	供給	1841	1841	3951	5151	predict	必要な物やサービスを継続的に与えること。
しきゅう	支給	1841	1841	3915	5115	predict	組織が給与・物品などを決められた相手に渡すこと。
きょうよう	共用	1841	1841	4759	5959	predict	複数の人や用途で同じものを使うこと。
きょうつう	共通	1841	1841	3691	4891	predict	複数のものに同じく当てはまること。
きょうつう	共通	1931	1931	4882	6082	predict	複数のものに同じく当てはまること。
きょうどう	共同	1841	1841	3766	4966	predict	複数の主体が一緒に行うこと。
きょうどう	共同	1929	1929	3733	4933	predict	複数の主体が一緒に行うこと。
いそんせい	依存性	1841	1970	6883	-		あるものが他に頼って成り立つ性質や程度。
いにん	委任	1841	1841	4801	6001	predict	権限や仕事を他者に任せること。
いたく	委託	1841	1841	3889	5089	predict	業務などを他者に任せて処理してもらうこと。
うけおい	請負	1841	1841	5009	6209	predict	仕事の完成を約束し、その結果に対して報酬を受ける契約。
いかん	移管	1841	1841	5275	6475	predict	管理・権限・業務の担当を別の組織や人へ移すこと。
いけん	意見	1841	1841	3342	4542	predict	ある事柄についての考えや判断。
いこう	意向	1841	1841	4703	5903	predict	どうしたいかという考えや希望。
いし	意思	1841	1841	3969	5169	predict	何かをしようとする考えや気持ち。
いし	意志	1851	1851	4578	5778	predict	目的を実現しようとする強い思いや決意。
いしき	意識	1841	1841	3266	4466	predict	自分や周囲を認識している心の働き、または自覚。
にんしき	認識	1841	1841	3588	4788	predict	物事を知り、その意味や状態を理解すること。
いほう	違法	1931	1931	3556	4756	predict	法律に違反していること。
ふとう	不当	1931	1931	3845	5045	predict	道理や基準に照らして正当でないこと。
いしつ	遺失	1841	1841	6111	-		物をうっかり失うこと。
ふんしつ	紛失	1841	1841	4413	5613	predict	物をどこかでなくし、所在が分からなくなること。
そうしつ	喪失	1841	1841	4652	5852	predict	持っていたものや機能を失うこと。
しょうしつ	消失	1841	1841	4842	6042	predict	存在していたものが消えてなくなること。
しょうめつ	消滅	1841	1841	4495	5695	predict	存在や効力が完全になくなること。
いんぺい	隠蔽	1841	1841	5183	6383	predict	事実や情報を隠して見えないようにすること。
ひとく	秘匿	1841	1841	5711	6911	predict	情報などを秘密にして、他者に知られないようにすること。
みこうかい	未公開	2624	1841	3258	4458	predict	まだ一般に公開されていない状態。
こうかい	公開	1841	1841	3150	4350	predict	情報や場所を広く見られる、または利用できるようにすること。
こうひょう	公表	1841	1841	4030	5230	predict	情報や事実を公に発表すること。
はっぴょう	発表	1841	1841	3171	4371	predict	内容や成果を人前や公の場で知らせること。
こくち	告知	1841	1841	4366	5566	predict	事実や予定を相手に知らせること。
つうち	通知	1841	1841	3570	4770	predict	必要な情報を相手に伝えること。
つうたつ	通達	1841	1841	5245	6445	predict	組織の上位者が決定や指示を正式に伝えること。
しじ	指示	1841	1841	3823	5023	predict	相手に取るべき行動や方法を示すこと。
めいれい	命令	1841	1841	4229	5429	predict	相手に実行を強く求める指示。
しれい	指令	1841	1841	5028	6228	predict	組織や装置に対して、実行すべき内容を伝える命令。
ようせい	要請	1841	1841	4377	5577	predict	実現を望む事柄を相手に正式に求めること。
いらい	依頼	1841	1841	3426	4626	predict	相手に仕事や対応をしてくれるよう頼むこと。
ちゅうもん	注文	1841	1841	3329	4529	predict	商品やサービスの提供を依頼すること。
もうしこみ	申込	1841	1841	4377	5577	predict	利用・参加・契約などを希望して手続きを申し出ること。
しんせい	申請	1841	1841	3438	4638	predict	許可や資格などを得るために正式に願い出ること。
しんこく	申告	1841	1841	3925	5125	predict	事実や金額などを自ら申し出て届けること。
しゅうち	周知	1841	1841	4607	5807	predict	情報を広く知らせ、関係者に行き渡らせること。
ふきゅう	普及	1841	1841	4036	5236	predict	物や考えが広く行き渡り、使われるようになること。
しんとう	浸透	1841	1841	4355	5555	predict	情報や考えが内部まで広く行き渡ること。
ていちゃく	定着	1841	1841	4241	5441	predict	状態や習慣が安定して根付くこと。
こてい	固定	1841	1841	3564	4764	predict	位置や状態を動かないようにすること。
こうそく	拘束	1841	1841	4600	5800	predict	人や物を縛って自由に動けなくすること。
よくし	抑止	1841	1841	5153	6353	predict	好ましくない行為が起こらないよう、思いとどまらせること。
そし	阻止	1841	1841	4756	5956	predict	進行や実行を妨げて止めること。
ぼうし	防止	1841	1841	3553	4753	predict	望ましくない事態が起こらないようにすること。
かいひ	回避	1841	1841	3925	5125	predict	危険や問題を避けて、起こらないようにすること。
うかい	迂回	1841	1841	5292	6492	predict	目的地へ直接向かわず、遠回りすること。
まわりみち	回り道	1841	1841	6083	-		目的地へ向かう遠回りの道、または直接でない方法。
とうひ	逃避	1841	1841	5289	6489	predict	苦痛や責任などから逃れること。
ひなん	避難	1841	1841	4111	5311	predict	危険な場所から安全な場所へ逃れること。
たいきょ	退去	1841	1841	5149	6349	predict	その場所から立ち去ること。
てったい	撤退	1841	1841	4693	5893	predict	活動や占有をやめて、後方や安全な場所へ退くこと。
てっきょ	撤去	1841	1841	4563	5763	predict	設置されている物を取り除き、そこからなくすこと。
じょきょ	除去	1841	1841	4086	5286	predict	不要なものや障害を取り除くこと。
しょうきょ	消去	1841	1841	4481	5681	predict	記録や情報を削ってなくすこと。
さいせってい	再設定	2610	1841	2576	3776	predict	設定値を改めて設定し直すこと。
さいこうせい	再構成	2610	1841	2381	3581	predict	既存の要素を組み替えて、別の構成に作り直すこと。
かいへん	改編	1841	1841	5671	6871	predict	組織・制度・文書などの編成を改めること。
かいへん	改変	1841	1841	4741	5941	predict	内容や仕組みに手を加えて変えること。
かいりょう	改良	1841	1841	4216	5416	predict	欠点を直して、性能や品質をよくすること。
こうりつか	効率化	1851	1941	5373	6573	predict	同じ成果をより少ない時間や資源で得られるようにすること。
しょうじんか	省人化	1841	1841	5944	7144	predict	必要な人員を減らせるようにすること。
ごうりか	合理化	1851	1941	6556	-		無駄を省き、仕組みや手順を合理的に整えること。
しょうりゃく	省略	1841	1841	4438	5638	predict	一部をはぶいて簡潔にすること。
だつらく	脱落	1841	1841	5096	6296	predict	本来あるべきものが抜け落ちること。
ろうしゅつ	漏出	1841	1841	6097	-		液体・気体・情報などが外へ漏れ出ること。
りゅうしゅつ	流出	1841	1841	4611	5811	predict	液体や資金、情報などが外部へ流れ出ること。
りゅうしつ	流失	1841	1841	6010	-		流されて失われること。
そんしょう	損傷	1841	1841	4283	5483	predict	物や機能が傷つき、損なわれること。
けつぼう	欠乏	1841	1841	5459	6659	predict	必要なものが不足していること。
こかつ	枯渇	1841	1841	5298	6498	predict	資源や資金などが尽き、ほとんどなくなること。
ろうきゅうか	老朽化	1851	1941	5874	7074	predict	長年の使用で古くなり、性能や状態が悪くなること。
けいねんれっか	経年劣化	1851	1841	5420	6620	predict	時間の経過に伴って性能や品質が低下すること。
まもう	摩耗	1841	1841	4744	5944	predict	こすれ合って表面や部材がすり減ること。
ちょうじょう	重畳	1841	1841	6439	-		いくつものものが重なり合うこと。
たいりょう	大量	1931	1931	2894	4094	predict	数や量が非常に多いこと。
ぶぶん	部分	1851	1851	3115	4315	predict	全体を構成する一部。
ぜんたい	全体	1909	1909	2131	3331	predict	いくつかの部分を合わせた全て。
ぜんいき	全域	1851	1851	5028	6228	predict	ある範囲の全ての地域や領域。
ぜんめん	全面	1851	1851	4584	5784	predict	ある範囲の全てにわたること。
いっかつ	一括	1841	1841	4364	5564	predict	複数のものを一つにまとめて扱うこと。
いっせい	一斉	1851	1851	4829	6029	predict	多くのものが同時に一度に行うこと。
どうじ	同時	1851	1851	4315	5515	predict	二つ以上のことが同じ時に起こること。
どうちょう	同調	1841	1841	5181	6381	predict	相手や周囲に調子や意見を合わせること。
もほう	模倣	1841	1841	4946	6146	predict	他のものの形や方法をまねること。
もほうひん	模倣品	1841	1949	6236	-		正規品の形や表示などをまねて作った品物。
もしゃ	模写	1841	1841	5592	6792	predict	絵や文字などを見たままに写し取ること。
きさい	記載	1841	1841	3297	4497	predict	文書などに内容を書き載せること。
けいさい	掲載	1841	1841	3209	4409	predict	新聞・Web・文書などに情報を載せること。
けいじ	掲示	1841	1841	4584	5784	predict	人に知らせるため、目立つ場所に表示すること。
ひょうじ	表示	1841	1841	2785	3985	predict	内容や状態を文字や記号などで示すこと。
ひょうげん	表現	1841	1841	3207	4407	predict	考えや状態を言葉・形・動作などで表すこと。
びょうしゃ	描写	1841	1841	4175	5375	predict	物事の様子を具体的に描き表すこと。
きじゅつ	記述	1841	1841	4009	5209	predict	事実や内容を文章に書き表すこと。
せつめい	説明	1841	1841	2952	4152	predict	物事の内容や理由を分かるように述べること。
かいせつ	解説	1841	1841	3157	4357	predict	内容や仕組みを詳しく説明すること。
